startNode,endNode,relationship,created,type,Restrictions
USR:1,C252,USES_CARD,2021-02-07T00:00:00,Debit,N/A
startNode,endNode,relationship,created,type,Restrictions
USR:2,C103,USES_CARD,2021-10-20T00:00:00,other,PAY BILLS
startNode,endNode,relationship,created,type,Restrictions
USR:3,C111,USES_CARD,2025-10-16T00:00:00,Debit,NO LIMIT
startNode,endNode,relationship,created,type,Restrictions
USR:4,C44,USES_CARD,2021-05-08T00:00:00,Debit,NO LIMIT
startNode,endNode,relationship,created,type,Restrictions
USR:5,C532,USES_CARD,2022-03-04T00:00:00,other,N/A
startNode,endNode,relationship,created,type,Restrictions
USR:6,C481,USES_CARD,2022-10-21T00:00:00,Debit,NO LIMIT
startNode,endNode,relationship,created,type,Restrictions
USR:7,C494,USES_CARD,2022-07-02T00:00:00,credit,PAY BILLS
startNode,endNode,relationship,created,type,Restrictions
USR:8,C126,USES_CARD,2022-12-18T00:00:00,credit,PAY BILLS
startNode,endNode,relationship,created,type,Restrictions
USR:9,C412,USES_CARD,2024-01-28T00:00:00,Debit,N/A
startNode,endNode,relationship,created,type,Restrictions
USR:10,C8,USES_CARD,2025-10-11T00:00:00,other,PAY BILLS
startNode,endNode,relationship,created,type,Restrictions
USR:11,C142,USES_CARD,2020-12-16T00:00:00,Debit,N/A
startNode,endNode,relationship,created,type,Restrictions
USR:12,C41,USES_CARD,2020-07-02T00:00:00,credit,PAY BILLS
startNode,endNode,relationship,created,type,Restrictions
USR:13,C256,USES_CARD,2021-03-05T00:00:00,credit,N/A
startNode,endNode,relationship,created,type,Restrictions
USR:14,C590,USES_CARD,2021-09-17T00:00:00,other,N/A
startNode,endNode,relationship,created,type,Restrictions
USR:15,C329,USES_CARD,2025-02-02T00:00:00,Debit,N/A
startNode,endNode,relationship,created,type,Restrictions
USR:16,C475,USES_CARD,2020-10-23T00:00:00,other,N/A
startNode,endNode,relationship,created,type,Restrictions
USR:17,C286,USES_CARD,2022-06-09T00:00:00,credit,PAY BILLS
startNode,endNode,relationship,created,type,Restrictions
USR:18,C597,USES_CARD,2022-05-04T00:00:00,credit,PAY BILLS
startNode,endNode,relationship,created,type,Restrictions
