startNode,endNode,relationship,since,position,department
C:209,USR:1,EMPLOYS,2019-03-08,Manager,IT
startNode,endNode,relationship,since,position,department
C:181,USR:2,EMPLOYS,2023-03-18,Entrepreneur,IT
startNode,endNode,relationship,since,position,department
C:404,USR:3,EMPLOYS,2016-02-01,Licenciado,Sales
startNode,endNode,relationship,since,position,department
C:503,USR:4,EMPLOYS,2015-02-09,Engineer,N/A
startNode,endNode,relationship,since,position,department
C:556,USR:5,EMPLOYS,2020-05-19,Engineer,IT
startNode,endNode,relationship,since,position,department
C:207,USR:6,EMPLOYS,2019-03-04,Entrepreneur,N/A
startNode,endNode,relationship,since,position,department
C:326,USR:7,EMPLOYS,2018-09-06,Licenciado,N/A
startNode,endNode,relationship,since,position,department
C:449,USR:8,EMPLOYS,2019-07-05,Licenciado,IT
startNode,endNode,relationship,since,position,department
C:112,USR:9,EMPLOYS,2023-05-03,Engineer,Sales
startNode,endNode,relationship,since,position,department
C:499,USR:10,EMPLOYS,2022-08-06,Manager,N/A
startNode,endNode,relationship,since,position,department
C:482,USR:11,EMPLOYS,2018-08-03,Licenciado,HR
startNode,endNode,relationship,since,position,department
C:294,USR:12,EMPLOYS,2019-03-08,Engineer,N/A
startNode,endNode,relationship,since,position,department
C:516,USR:13,EMPLOYS,2023-05-20,Entrepreneur,N/A
startNode,endNode,relationship,since,position,department
C:589,USR:14,EMPLOYS,2016-01-18,Engineer,HR
startNode,endNode,relationship,since,position,department
C:483,USR:15,EMPLOYS,2016-10-25,Manager,HR
startNode,endNode,relationship,since,position,department
C:363,USR:16,EMPLOYS,2021-11-23,Manager,HR
startNode,endNode,relationship,since,position,department
C:60,USR:17,EMPLOYS,2016-06-09,Entrepreneur,HR
startNode,endNode,relationship,since,position,department
C:472,USR:18,EMPLOYS,2022-04-04,Entrepreneur,IT
startNode,endNode,relationship,since,position,department
C:118,USR:19,EMPLOYS,2015-08-01,Licenciado,Sales
startNode,endNode,relationship,since,position,department
C:18,USR:20,EMPLOYS,2016-07-27,Manager,IT
startNode,endNode,relationship,since,position,department
C:22,USR:21,EMPLOYS,2023-02-14,Licenciado,N/A
startNode,endNode,relationship,since,position,department
